Income,Coapplicant_Income,Loan_Tenor,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
5720,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3076,1500,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
5000,1800,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3276,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1
2165,3422,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1
2226,0,144.0,1.0,1,0,1,0,0,1,0,0,0,1,0,1,0
3881,0,144.0,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0
13633,0,96.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
2400,2400,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0
3091,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1
2185,1516,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
12173,0,144.0,0.0,0,1,0,1,0,0,1,0,1,0,0,1,0
4666,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0
5667,0,144.0,1.0,0,1,1,0,0,1,0,0,1,0,0,0,1
4583,2916,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3786,333,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0
9226,7916,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
1300,3470,72.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
1888,1620,144.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1
2083,0,72.0,1.0,1,0,1,0,0,0,0,1,0,1,0,0,1
3765,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,1
5400,4380,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
0,24000,144.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
7500,3750,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
2942,2382,72.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2478,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0
6250,820,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3268,1683,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
2783,2708,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
2740,1541,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3150,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,1,0
7350,4029,72.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
2267,2792,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
5833,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3643,1963,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
5629,818,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3644,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
1750,2024,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
6500,2600,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
3666,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
2356,1902,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0
8000,250,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0
2419,1707,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3500,3077,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
4116,1000,72.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
5293,0,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1
2750,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,1
4402,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,1,0,0
3613,3539,72.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0
2779,3664,144.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,0
4720,0,72.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0
2415,1721,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
7016,292,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
4968,0,144.0,1.0,1,0,1,0,0,0,1,0,1,0,0,1,0
2101,1500,144.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0
4490,0,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,1
2917,3583,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4700,0,144.0,0.0,0,1,0,1,1,0,0,0,0,1,0,1,0
3445,0,144.0,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0
7666,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
2458,5105,144.0,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0
4463,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
4083,1775,60.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3900,2094,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
4750,3583,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
3583,3435,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3189,2367,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
6356,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3413,4053,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
7950,0,144.0,1.0,1,0,0,1,1,0,0,0,1,0,0,0,1
3829,1103,144.0,0.0,0,1,0,1,0,0,0,1,1,0,0,0,1
72529,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
4136,0,192.0,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0
8449,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
4456,0,72.0,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4635,8000,72.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3571,1917,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3066,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
3235,2015,144.0,1.0,0,1,1,0,0,0,1,0,0,1,0,1,0
5058,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0
13518,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0
4364,2500,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
4766,1646,144.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0
4609,2333,144.0,0.0,0,1,0,1,0,1,0,0,1,0,0,1,0
6260,0,144.0,1.0,1,0,0,1,0,0,0,1,1,0,0,1,0
3333,4200,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3500,3250,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
9719,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
4452,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
2262,0,192.0,0.0,1,0,0,1,1,0,0,0,1,0,0,1,0
3901,0,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
2687,0,72.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0
3417,1287,144.0,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0
4513,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0
4500,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4523,1350,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1
4742,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0
3417,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
2922,3396,144.0,1.0,1,0,0,1,0,0,1,0,1,0,0,1,0
4167,4754,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
0,1760,144.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0
1762,2666,144.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,1
724,3510,144.0,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3125,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2333,3803,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
3350,1560,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
2500,6414,144.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
12500,0,144.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,1
4667,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
6500,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,1
7500,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3073,0,72.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3333,1270,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3391,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3343,1517,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
3620,0,144.0,1.0,1,0,1,0,0,1,0,0,1,0,0,0,1
4000,0,84.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
4258,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
4500,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
2014,2925,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
4727,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3089,2999,96.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0
6794,528,144.0,0.0,0,1,0,1,0,0,0,1,0,1,0,0,1
10890,0,12.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
12941,0,120.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
3276,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0
8703,0,144.0,0.0,0,1,1,0,1,0,0,0,0,1,1,0,0
4742,717,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
5900,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3071,4309,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2783,1456,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
5000,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
2463,2360,144.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,1
4855,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
1599,2474,120.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0
4246,4246,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
4333,2291,140.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
5823,2529,144.0,1.0,0,1,1,0,0,1,0,0,1,0,0,1,0
7895,0,144.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0
4150,4256,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
2964,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,1,0
5583,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2708,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0
2268,0,144.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0
1141,2017,144.0,0.0,0,1,1,0,0,0,1,0,0,1,0,0,1
3042,3167,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
1750,2935,144.0,0.0,1,0,0,1,0,0,0,1,1,0,0,1,0
3564,0,144.0,1.0,1,0,0,1,0,1,0,0,1,0,1,0,0
3958,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0
4483,0,144.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0
5225,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
3017,2845,72.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2431,1820,144.0,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0
4912,4614,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
2500,3333,144.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1
5128,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3958,2632,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0
4334,2945,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4358,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
4000,3917,144.0,1.0,1,0,0,1,0,1,0,0,1,0,1,0,0
4521,1184,144.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0
9167,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0
13083,0,144.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0
7874,3967,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
4333,0,84.0,1.0,1,0,0,1,0,1,0,0,1,0,1,0,0
4083,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3785,2912,144.0,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0
2654,1998,144.0,0.0,0,1,0,1,0,0,0,1,0,1,1,0,0
10000,2690,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
5833,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
4796,0,144.0,0.0,0,1,0,1,0,1,0,0,1,0,0,1,0
2000,1600,144.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0
2540,700,144.0,0.0,0,1,0,1,0,0,1,0,1,0,0,0,1
1900,1442,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
8706,0,192.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
2855,542,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,1
3159,2374,144.0,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0
1937,1152,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0
2613,2417,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4960,2600,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
3074,1083,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
4213,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
2362,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
5333,2400,144.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
5384,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0
5708,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
2914,2130,120.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1
2747,2458,36.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
7830,2183,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
3507,3148,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
3747,2139,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3500,2168,144.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0
2896,0,192.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1
5062,0,120.0,1.0,1,0,1,0,0,1,0,0,1,0,1,0,0
5184,0,144.0,0.0,1,0,1,0,0,0,1,0,1,0,0,1,0
2545,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
2553,1768,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3436,3809,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
2412,2755,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
5180,0,144.0,0.0,0,1,0,1,0,0,0,1,0,1,0,0,1
14911,14507,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
1173,1594,72.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
7600,0,144.0,1.0,1,0,1,0,0,1,0,0,1,0,0,1,0
2157,1788,144.0,1.0,1,0,0,1,1,0,0,0,1,0,0,0,1
2231,2774,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2274,5211,144.0,0.0,1,0,1,0,1,0,0,0,1,0,0,1,0
6166,13983,144.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0
2513,1110,144.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0
4333,0,192.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3844,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1
3887,1517,144.0,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0
3510,828,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
2539,1704,144.0,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0
2107,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0
5000,2166,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3943,0,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
2925,0,72.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3242,437,192.0,0.0,0,1,0,1,0,0,0,1,1,0,0,0,1
4028,0,144.0,1.0,1,0,1,0,0,1,0,0,1,0,0,1,0
4010,1025,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3719,1585,144.0,1.0,1,0,0,1,0,1,0,0,1,0,0,0,1
2858,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3833,0,144.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0
3333,4288,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3007,3725,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
2792,2619,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0
2982,1550,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
18840,0,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
2995,1120,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3835,1400,192.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,1
3854,3575,144.0,1.0,1,0,1,0,0,1,0,0,0,1,1,0,0
5833,750,144.0,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3508,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
1635,2444,144.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1
3333,3916,144.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0
24797,0,144.0,1.0,0,1,1,0,0,1,0,0,1,0,0,1,0
5667,440,144.0,0.0,0,1,0,1,0,0,1,0,1,0,0,1,0
3500,0,144.0,0.0,1,0,1,0,1,0,0,0,1,0,0,1,0
2773,1497,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0
6500,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
5769,0,72.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0
3634,910,144.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0
2166,2057,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
5000,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
9000,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0
10000,11666,144.0,1.0,1,0,0,1,0,0,1,0,1,0,0,0,1
8750,0,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
1972,4347,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
4983,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
8333,4000,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3667,2000,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
3166,2833,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3271,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0
2241,2000,144.0,0.0,1,0,0,1,1,0,0,0,1,0,0,0,1
1792,2565,144.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1
2666,0,192.0,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0
3808,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0
3729,0,144.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0
4120,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
7500,0,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
6300,0,144.0,0.0,0,1,0,1,0,1,0,0,1,0,0,0,1
2600,700,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
7500,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3859,0,144.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0
6825,0,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
3708,4700,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
5314,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2366,5272,144.0,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0
5000,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
3767,0,120.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
7859,879,72.0,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0
4283,0,144.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0
1700,2900,144.0,0.0,0,1,0,1,1,0,0,0,0,1,0,0,1
3083,2738,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2667,1542,144.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
1647,1762,144.0,1.0,1,0,0,1,1,0,0,0,0,1,0,0,1
3400,0,120.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
16000,5000,144.0,1.0,0,1,1,0,0,1,0,0,1,0,0,1,0
5333,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
2600,618,144.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0
5041,700,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
6958,1411,144.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0
5509,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
9699,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
3621,2717,144.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1
4709,0,144.0,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0
1516,1951,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
2400,0,144.0,1.0,0,1,1,0,0,0,1,0,1,0,0,0,1
2292,1558,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
2360,3355,96.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0
4333,2333,144.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0
2623,4831,72.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
3972,4275,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3522,0,72.0,1.0,0,1,0,1,0,0,0,1,0,1,1,0,0
4700,0,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
6858,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
8334,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
3391,1966,144.0,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0
2868,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1
3418,1380,144.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1
2500,296,120.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
8667,0,144.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
5817,910,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
5119,3769,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
5316,187,72.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0
7603,1213,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
3791,1936,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
2500,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
4000,2667,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
2269,2167,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
4009,1777,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,1
4158,709,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
5000,2393,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
9200,0,72.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
